==========================================================================================
  HUAWEI FIRMWARE ROOTFS BINARY LIST
  Source: https://github.com/Uaemextop/realfirmware-net
  Extracted from: HG8145V5, HG8245Q, HG8247H5, HG8247H
==========================================================================================

Binary Name                    Path                            Size  Models  MD5
pcp_c                          /bin/pcp_c                    62,796      4  61950d1cb989e980cbd90dfe89228639
pidof                          /bin/pidof                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ping                           /bin/ping                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ping6                          /bin/ping6                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
printenv                       /bin/printenv              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
printf                         /bin/printf                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
procmonitor                    /bin/procmonitor               9,516      4  3cfe039bde9977fa44b5424ed2a10629
ps                             /bin/ps                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
psftp                          /bin/psftp                   497,548      4  e2315a4e4c89278b64475bbe7c88d809
psi                            /bin/psi                      23,160      4  c3dcc9f731ae331036d15f251c8f9af9
pwd                            /bin/pwd                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
qoe                            /bin/qoe                      50,564      2  835fc36b1b52bac71de5c43fb10d0139
readlink                       /bin/readlink              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ret_server                     /bin/ret_server               46,412      1  179924e98e5364098085f4739d1d1058
rm                             /bin/rm                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
rmdir                          /bin/rmdir                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
rt2860apd                      /bin/rt2860apd                82,892      2  c3a3e6b130fb491c9d824906af78a83f
run-parts                      /bin/run-parts             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
scanner                        /bin/scanner                  67,536      4  254697dd807ffcdacf2d33e120a9c253
sed                            /bin/sed                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
seq                            /bin/seq                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
setboardinfo                   /bin/setboardinfo             13,636      1  6ffd7c6db7d29c8dba9cddb875d7b6c1
setcap                         /bin/setcap                    9,392      2  6a92252bf3c2ac522ad0070b30553545
sftp-server                    /bin/sftp-server           1,614,244      1  b973e109674594ec85afac3c90f004f5
sh                             /bin/sh                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
shellconfig                    /bin/shellconfig              13,596      4  57056af1f0f88e944becb4a66bb3ef57
sim                            /bin/sim                      13,780      1  2e3281ab7882cfce57328dc7587866fe
sleep                          /bin/sleep                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
smbd                           /bin/smbd                  2,275,252      4  6b545cc0dab0db28ab44213df7c95d44
smbpasswd                      /bin/smbpasswd                38,284      4  c6fe0fd35cb87fbf4b709bec07a69844
sndhlp                         /bin/sndhlp                    9,500      4  b3686715e985aeb04cf6ac01869380b2
sntp                           /bin/sntp                     42,300      4  fefe6903d05c3a05fd320672f9b3c7d7
softlimit                      /bin/softlimit             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
sort                           /bin/sort                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
speeddiag                      /bin/speeddiag                83,424      4  ec37ae65ba1b34e009529a13d63f0732
ssmp                           /bin/ssmp                    341,228      4  8d69245c3121f37d79eb668de393b6e0
start                          /bin/start                     9,500      4  837e441bd2544fe96b5f6e9c080b2cd2
stat                           /bin/stat                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
stty                           /bin/stty                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
su                             /bin/su                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
sudo                           /bin/sudo                    585,240      1  1f69f1e5f908039113cadd69d06b877f
sum                            /bin/sum                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
sync                           /bin/sync                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tac                            /bin/tac                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tail                           /bin/tail                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tar                            /bin/tar                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
taskset                        /bin/taskset               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tcpsvd                         /bin/tcpsvd                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tee                            /bin/tee                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
telnet                         /bin/telnet                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
test                           /bin/test                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tftp                           /bin/tftp                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tftpd                          /bin/tftpd                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
thermaltool                    /bin/thermaltool               9,364      1  a4dbba9ff520d8212443ceda1873cd20
time                           /bin/time                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tmCheckCode                    /bin/tmCheckCode             237,144      1  748c94d16de68b20fdfd5c05cb64b965
tmGenCheckInfo                 /bin/tmGenCheckInfo          237,300      1  b2d25acbb4f61b4a951bfcda65366f99
top                            /bin/top                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
touch                          /bin/touch                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tr                             /bin/tr                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tr111p2                        /bin/tr111p2                  63,712      1  25dc68073f6af2beb08d90ef32cd03d1
traceroute                     /bin/traceroute            2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
traceroute6                    /bin/traceroute6           2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
true                           /bin/true                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tty                            /bin/tty                   2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
tx99tool_bin                   /bin/tx99tool_bin              9,340      1  2ff54d4117802734b96102ef249d560e
udm                            /bin/udm                      75,100      4  801c05318a3b3bc6a7f936bbf413a107
udp_echo                       /bin/udp_echo                 17,692      4  b4105b7ce2ea29ea1b5a73ca4ca08a9b
